announcement_type,date_of_issue_of_auction_notice,name_of_corporate_debtor,cin_no.,name_of_insolvency_professional,date_of_auction,reserve_price,last_date_of_submission,days_until_submission
Issue of Auction Notice,,K K MILK FRESH INDIA LIMITED,U01403UP2010PLC039300,Mr. Chanchal Dua,2022-03-11,265000000.0,2022-03-09,-1217
Issue of Auction Notice,,Amricon  Agrovet  Private  Limited,U01409WB2000PTC090900,Asim Kumar Bose,2022-03-10,18563000.0,2022-03-09,-1217
Issue of Auction Notice,,BLUEWATER FOODS AND EXPORTS PRIVATE LIMITED,U51223KA1997PTC021995,Mr. Shivadutt Bannanje,2022-03-03,29312213.0,2022-03-02,-1224
Issue of Auction Notice,,SIVA INDUSTRIES AND HOLDINGS LIMITED,U01134TN1994PLC026861,Mr. Ayyamplalayam Venkatesan Arun,2022-03-04,4503000.0,2022-03-01,-1225
Issue of Auction Notice,,MAKTEL POWER LIMITED,U31900GJ2009PLC058249,Mr. Dharit Kishorbhai Shah,2022-03-09,32112000.0,2022-03-07,-1219
Issue of Auction Notice,,AQUA DESIGNS INDIA PRIVATE LIMITED,U41000TN2002PTC050091,Mr. C. Ramasubramaniam,2022-03-09,151200000.0,2022-03-07,-1219
Issue of Auction Notice,,METRO MANAGEMENT SERVICES PRIVATE LIMITED,U74140DL1998PTC092837,Ashok Arora,2022-03-22,7700000.0,2022-03-15,-1211
Issue of Auction Notice,,ASSOCIATED APPLIANCES LIMITED,U74899DL1994PLC058528,Mr. Sandeep Kumar Bhatt,2022-03-11,16900000.0,2022-03-05,-1221
Issue of Auction Notice,,Abhay Nutrition Pvt Ltd,U17121MH2008PTC182247,Mr. Vikas Prakash Gupta,2022-02-15,166500000.0,2022-02-07,-1247
Issue of Auction Notice,,Petron Engineering Construction Limited,L45202MH1976PLC019135,Mr. Vineet K Chaudhary,2022-03-10,857000.0,2022-02-28,-1226
Issue of Auction Notice,,GUJARAT METALLIC COAL &amp; COKE LIMITED,L24298WB1992PLC054815,Sanjay Kumar Poddar,2022-04-04,40432528.0,2022-03-29,-1197
Issue of Auction Notice,,Govindam Metals and Alloys Private Limited,U27320MH2008PTC181246,Mr. Fanendra Harakchand Munot,2022-03-04,6408000.0,2022-02-28,-1226
Issue of Auction Notice,,MONNET POWER COMPANY LIMITED,U01403CT2007PLC020179,Mr. Navneet Kumar Gupta,2022-03-08,4617000000.0,2022-02-25,-1229
Issue of Auction Notice,,I.C.S.A. (INDIA) LIMITED,L72200AP1994PLC016969,Mr. Nethi Mallikarjuna Setty,2022-03-11,87500000.0,2022-03-09,-1217
Issue of Auction Notice,,Runeecha Textiles Limited,L99999DL1986PLC307282,Mr. Navneet Kumar Gupta,2022-02-24,0.0,2022-02-24,-1230
Issue of Auction Notice,,Roofit Industries Limited,L99999MH1982PLC026369,Mr. Jitender Kumar Jain,2022-02-28,28938553.0,2022-02-25,-1229
Issue of Auction Notice,,I.C.S.A. (INDIA) LIMITED,L72200AP1994PLC016969,Mr. Nethi Mallikarjuna Setty,2022-03-11,87500000.0,2022-03-09,-1217
Issue of Auction Notice,,KSS PETRON PRIVATE LIMITED,U45400MH2007PTC234297,Mr. Vineet K Chaudhary,2022-03-14,1400425.0,2022-02-28,-1226
Issue of Auction Notice,,I.C.S.A. (INDIA) LIMITED,L72200AP1994PLC016969,Mr. Nethi Mallikarjuna Setty,2022-03-11,300000.0,2022-03-09,-1217
Issue of Auction Notice,,Petron Engineering Construction Limited,L45202MH1976PLC019135,Mr. Vineet K Chaudhary,2022-03-14,11057638.0,2022-02-28,-1226
Issue of Auction Notice,,Gajra Bevel Gears Ltd.,L34300MP1974PLC001598,Mr. Navin Khandelwal,2022-03-10,240633977.0,2022-03-01,-1225
Issue of Auction Notice,,Maktel Control &amp;amp; Systems Pvt Ltd,U31900GJ2009PTC056575,Mr. Dharit Kishorbhai Shah,2022-02-28,102847000.0,2022-02-28,-1226
Issue of Auction Notice,,DHAVAL PRATAPSINH MOHITEPATIL AGRO INDUSTRIES LIMITED,U01111PN2007PLC130850,Mr. Dharit Kishorbhai Shah,2022-03-04,154210020.0,2022-03-04,-1222
Issue of Auction Notice,,Lotus Shopping Centres Private Limited,U45209KA2007PTC044541,Mr. Sanjay Kumar Mishra,2022-02-28,1250000000.0,2022-02-24,-1230
Issue of Auction Notice,,Kanakadhara Ventures Private Limited,U70102TG2005PTC047611,Mr. Chillale Rajesh,2022-03-19,233000000.0,2022-03-16,-1210
Issue of Auction Notice,,Nicomet Industries Ltd,U27200MH1993PLC071450,Mr. Divyesh Desai,2022-03-04,20250000.0,2022-03-03,-1223
Issue of Auction Notice,,Nicomet Industries Ltd,U27200MH1993PLC071450,Mr. Divyesh Desai,2022-03-04,2025000.0,2022-03-03,-1223
Issue of Auction Notice,,Nicomet Industries Ltd,U27200MH1993PLC071450,Mr. Divyesh Desai,2022-03-04,2025000.0,2022-03-03,-1223
Issue of Auction Notice,,Modern India Concast Limited,U27106WB1987PLC042166,Mr. Sanjai Kumar Gupta,2022-02-26,2365000.0,2022-02-24,-1230
Issue of Auction Notice,,KARUR K.C.P PACKKAGINGS LIMITED,L21029PY1991PLC000730,Ms. Subramaniam Aneetha,2022-03-02,2000000000.0,2022-02-28,-1226
Issue of Auction Notice,,Honeycomb Technologies Private Limited,U51503TN2006PTC058554,Mr. Manivannan. J,2022-02-23,12500000.0,2022-02-22,-1232
Issue of Auction Notice,,BLUEWATER FOODS AND EXPORTS PRIVATE LIMITED,U51223KA1997PTC021995,Mr. Shivadutt Bannanje,2022-03-03,112378000.0,2022-03-02,-1224
Issue of Auction Notice,,KSS PETRON PRIVATE LIMITED,U45400MH2007PTC234297,Mr. Vineet K Chaudhary,2022-03-07,28976000.0,2022-02-28,-1226
Issue of Auction Notice,,BLUEWATER FOODS AND EXPORTS PRIVATE LIMITED,U51223KA1997PTC021995,Mr. Shivadutt Bannanje,2022-03-03,58254000.0,2022-03-02,-1224
Issue of Auction Notice,,BLUEWATER FOODS AND EXPORTS PRIVATE LIMITED,U51223KA1997PTC021995,Mr. Shivadutt Bannanje,2022-03-03,6954800000.0,2022-03-02,-1224
Issue of Auction Notice,,Vandana Vidhyut Limited,U04010CT1995PLC010142,Mr. Sanjay Gupta,2022-03-03,2500000000.0,2022-03-01,-1225
Issue of Auction Notice,,Loha Ispaat Limited,U27200MH1988PLC050107,Mr. Anil Goel,2022-03-04,36300000.0,2022-03-02,-1224
Issue of Auction Notice,,M/s KONASEEMA GAS POWER LIMITED,U40101TG1997PLC037013,Mr. Sai Ramesh Kanuparthi,2022-02-28,3100000000.0,2022-02-22,-1232
Issue of Auction Notice,,Bhatia Global Trading Limited,U60200MP1991PLC006626,Mr. Prawincharan Prafulcharan Dwary,2022-03-02,18184965.0,2022-02-28,-1226
Issue of Auction Notice,,M/S. BETA INFRATECH PVT LTD,U45200DL2008PTC173874,Mr. Sivanagaraja Taduvai,2022-03-28,2520000000.0,2022-02-24,-1230
Issue of Auction Notice,,GROWTHWAYS TRADING PRIVATE LIMITED,U52300DL2011PTC217015,Mr. Sunil Kumar Agrawal,2022-02-25,10976959.0,2022-02-23,-1231
Issue of Auction Notice,,GROWTHWAYS TRADING PRIVATE LIMITED,U52300DL2011PTC217015,Mr. Sunil Kumar Agrawal,2022-02-25,1510403.0,2022-02-23,-1231
Issue of Auction Notice,,VARIA ALUMINIUM PRIVATE LIMITED,U28112GJ2010PTC059666,Mr. Ramchandra Dallaram Choudhary,2022-03-02,363204.0,2022-03-01,-1225
Issue of Auction Notice,,VARIA ALUMINIUM PRIVATE LIMITED,U28112GJ2010PTC059666,Mr. Ramchandra Dallaram Choudhary,2022-03-02,55485.0,2022-03-01,-1225
Issue of Auction Notice,,CHURAKULAM TEA ESTATE PRIVATE LIMITED,U01132KL1946PTC000251,Mr. Jasin Jose,2022-03-04,375660000.0,2022-03-01,-1225
Issue of Auction Notice,,Petron Engineering Construction Limited,L45202MH1976PLC019135,Mr. Vineet K Chaudhary,2022-03-11,23445420.0,2022-02-24,-1230
Issue of Auction Notice,,INCOM WIRES AND CABLES LIMITED,U74899DL1992PLC050243,Mr. Rakesh Kumar Jain,2022-03-11,14400000.0,2022-03-01,-1225
Issue of Auction Notice,,Hindustan Paper Corporation Limited,U74899DL1970GOI005301,Mr. Kuldeep Verma,2022-03-17,4295930000.0,2022-02-22,-1232
Issue of Auction Notice,,Propyl Packaging Ltd,U25202KL1996PLC010585,Mr. George Varkey,2022-03-10,127500000.0,2022-03-05,-1221
Issue of Auction Notice,,Kamla Real Estate Hub Private Limited,U45201MH2007PTC173700,Mr. Rajeev Mannadiar,2022-03-10,172500000.0,2022-03-08,-1218
Issue of Auction Notice,,LAKE VIEW AYURVEDIC RESORT AND RESEARCH CENTRE PRIVATE LIMITED,U55102KL2000PTC013997,Mr. Aravindakshan Nair R,2022-03-14,57400000.0,2022-03-09,-1217
Issue of Auction Notice,,Gian Chand and Sons Private Limited,U18100PB1988PTC008266,Mr. Rajeev Bhambri,2021-11-03,38400000.0,2021-11-01,-1345
Issue of Auction Notice,,Floram Shoes (India) Private Limited,U18209TN1987PTC014898,Amier Hamsa Ali Abbas Rawther,2022-02-23,85500000.0,2022-02-21,-1233
Issue of Auction Notice,,Gian Chand and Sons Private Limited,U18100PB1988PTC008266,Mr. Rajeev Bhambri,2022-02-18,34600000.0,2022-02-16,-1238
Issue of Auction Notice,,Gian Chand and Sons Private Limited,U18100PB1988PTC008266,Mr. Rajeev Bhambri,2022-02-18,1620000.0,2022-02-16,-1238
Issue of Auction Notice,,Gian Chand and Sons Private Limited,U18100PB1988PTC008266,Mr. Rajeev Bhambri,2022-02-18,14600000.0,2022-02-16,-1238
Issue of Auction Notice,,Sixth Dimension Project Solutions Limited,U74900MH1998PLC116838,Mr. Santanu T Ray,2022-02-28,110000000.0,2022-02-24,-1230
Issue of Auction Notice,,MONNET POWER COMPANY LIMITED,U01403CT2007PLC020179,Mr. Navneet Kumar Gupta,2022-03-01,5130000000.0,2022-02-18,-1236
Issue of Auction Notice,,Siddhi Vinayak Logistic Limited,U63090GJ2002PLC040982,Mr. Dushyant C Dave,2022-02-23,11525110.0,2022-02-23,-1231
Issue of Auction Notice,,Woolways (India) Limited,L74899DL1994PLC063585,Mr. Sajeve Bhushan Deora,2022-03-03,8740695.0,2022-02-28,-1226
Corrigendum,2022-12-02,Petron Engineering Construction Limited,L45202MH1976PLC019135,Mr. Vineet K Chaudhary,2022-03-03,2297128.0,2022-02-19,-1235
Issue of Auction Notice,2022-12-02,AMRIT FEEDS LTD,U15339WB1994PLC064082,Mr. Sunil Mohan Acharya,2022-03-03,294650000.0,2022-03-01,-1225
Issue of Auction Notice,2022-12-02,KSS PETRON PRIVATE LIMITED,U45400MH2007PTC234297,Mr. Vineet K Chaudhary,2022-03-03,5137046.0,2022-02-19,-1235
Issue of Auction Notice,2022-12-02,Sembmarine Kakinada Limited,U74900AP2009PLC104176,Mr. Vedagiri Venkata Krsihnamurthy,2022-02-25,1479185000.0,2022-02-23,-1231
Issue of Auction Notice,2022-11-02,New Win Win Feeds Private Limited,U01403WB2012PTC179334,Mr. Kanchan Dutta,2022-02-25,25611761.0,2022-02-23,-1231
Issue of Auction Notice,2022-11-02,TRIDENT TOOLS LIMITED,L29220MH1982PLC027046,Mr. Dilipkumar Natvarlal Jagad,2022-02-28,100000000.0,2022-02-25,-1229
Issue of Auction Notice,2022-11-02,TRIPURARI AGRO PRIVATE LIMITED,U15400PB2013PTC037538,Mr. Rajesh Kumar Loomba,2022-03-03,6600000.0,2022-03-01,-1225
Issue of Auction Notice,2022-10-02,Kapil Steels Limited,U27105MP1987PLC003834,Mr. Jagdish Kumar,2022-03-15,7620250.0,2022-03-09,-1217
Issue of Auction Notice,2022-10-02,ANIL LIMITED,L15490GJ1993PLC019895,Mr. Ramchandra Dallaram Choudhary,2022-02-24,3630000000.0,2022-02-23,-1231
Issue of Auction Notice,2022-10-02,ANIL LIMITED,L15490GJ1993PLC019895,Mr. Ramchandra Dallaram Choudhary,2022-02-24,12500000.0,2022-02-23,-1231
Corrigendum,2022-10-02,FALCON TYRES LIMITED,L25114KA1973PLC002455,Mr. Shivadutt Bannanje,2022-02-24,1175000000.0,2022-02-23,-1231
Issue of Auction Notice,2022-10-02,Ultimo Fabrics Private Limited,U74110MH2015PTC269395,Ms. Mrudula Cletus Brodie,2022-02-23,18500000.0,2022-02-23,-1231
Issue of Auction Notice,2022-09-02,JOTESRIRAM HIMGHAR PRIVATE LIMITED,U01403WB2013PTC195017,Mr. Santanu Bhattacharjee,2022-02-11,47000000.0,2022-02-10,-1244
Issue of Auction Notice,2022-09-02,Kaneria Granito Limited,U14000GJ2000PLC037275,Ms. Vineeta Maheshwari,2022-02-28,232000000.0,2022-02-25,-1229
Issue of Auction Notice,2022-09-02,MOONRIVER RESORTS PVT LTD,U55101KL2009PTC024173,K T Mathew,2022-03-14,76590000.0,2022-03-11,-1215
Issue of Auction Notice,2022-09-02,Stride Autoparts Limited,U34300DL2010PLC210810,Mr. Pankaj Khetan,2022-02-25,492500000.0,2022-02-23,-1231
Issue of Auction Notice,2022-09-02,BRG IRON & STEEL CO. PRIVATE LIMITED,U27101WB2002PTC095499,Mr. Kannan Tiruvengadam,2022-03-04,172629757.84,2022-02-17,-1237
Issue of Auction Notice,2022-09-02,BHA Associates Private Limited,U18101DL1999PTC101143,Mr. Pawan Kumar Agrawal,2022-02-22,13959950.0,2022-02-21,-1233
Issue of Auction Notice,2022-09-02,"VEESONS ENERGY SYSTEMS P LTD.,",U29113TN1996PTC036693,Mr. R. Raghavendran,2022-02-23,102957981.0,2022-02-21,-1233
Corrigendum,2022-09-02,SHREE HANUMAN TEXFAB PRIVATE LIMITED,U17121MH2009PTC192331,Mr. Ganesh Venkata Siva Rama Krishna Remani,2022-02-24,120000000.0,2022-02-21,-1233
Corrigendum,2022-09-02,Sarawgi Builders &amp; Promoters Private Limited,U45400WB1995PTC072439,Mr. Tapan Chakraborty,2022-03-05,42800000.0,2022-03-03,-1223
Issue of Auction Notice,2022-08-02,DIVINE ALLOYS &amp; POWER CO LIMITED,U27102WB2004PLC099681,Mr. Rajesh Kumar Agrawal,2022-03-02,648000000.0,2022-02-28,-1226
Issue of Auction Notice,2022-08-02,Divine Vidyut Limited,U40102WB2007PLC118068,Mr. Rajesh Kumar Agrawal,2022-03-02,274000000.0,2022-02-28,-1226
Issue of Auction Notice,2022-08-02,Petron Engineering Construction Limited,L45202MH1976PLC019135,Mr. Vineet K Chaudhary,2022-03-02,2297128.0,2022-02-16,-1238
Issue of Auction Notice,2022-08-02,KSS PETRON PRIVATE LIMITED,U45400MH2007PTC234297,Mr. Vineet K Chaudhary,2022-03-02,3721898.0,2022-02-16,-1238
Issue of Auction Notice,2022-08-02,VGA DEVELOPERS PRIVATE LIMITED,U45400DL2010PTC197841,Mr. Aishwarya Mohan Gahrana,2022-03-09,600000000.0,2022-03-04,-1222
Issue of Auction Notice,2022-08-02,VGA DEVELOPERS PRIVATE LIMITED,U45400DL2010PTC197841,Mr. Aishwarya Mohan Gahrana,2022-03-09,2000000.0,2022-03-04,-1222
Issue of Auction Notice,2022-08-02,MONNET POWER COMPANY LIMITED,U01403CT2007PLC020179,Mr. Navneet Kumar Gupta,2022-02-14,5700000000.0,2022-02-10,-1244
Issue of Auction Notice,2022-07-02,HALLMARK LIVING SPACE PRIVATE LIMITED,U45400TN2012PTC084362,Mr. S.Dhanapal,2022-02-21,900000000.0,2022-02-18,-1236
Issue of Auction Notice,2022-07-02,SERVALAKSHMI PAPER LIMITED,L21012TN2005PLC092783,Mr. S.Dhanapal,2022-02-24,1560000000.0,2022-02-21,-1233
Issue of Auction Notice,2022-07-02,Valecha LM Toll Private Limited,U74900MH2010PTC202289,Mr. Udayraj Patwardhan,2022-02-22,811000.0,2022-02-19,-1235
Issue of Auction Notice,2022-07-02,Petron Engineering Construction Limited,L45202MH1976PLC019135,Mr. Vineet K Chaudhary,2022-02-24,1441000.0,2022-02-14,-1240
Issue of Auction Notice,2022-07-02,Unity Infraprojects Limited,L99999MH1997PLC107153,Mr. Alok Kailash Saksena,2022-02-18,57949000.0,2022-02-14,-1240
Issue of Auction Notice,2022-07-02,GROWTHWAYS TRADING PRIVATE LIMITED,U52300DL2011PTC217015,Mr. Sunil Kumar Agrawal,2022-02-14,11866982.0,2022-02-11,-1243
Issue of Auction Notice,2022-07-02,KALISMA STEEL PRIVATE LIMITED,U52100MH2011PTC222943,Mr. Jagdish Ratanlal Ahuja,2022-02-21,148912000.0,2022-02-18,-1236
Issue of Auction Notice,2022-07-02,GROWTHWAYS TRADING PRIVATE LIMITED,U52300DL2011PTC217015,Mr. Sunil Kumar Agrawal,2022-02-14,1632868.0,2022-02-11,-1243
Issue of Auction Notice,2022-07-02,Coastal Energy Private Limited,U52599TN1997PTC037547,Mr. Ramakrishnan Sadasivan,2022-02-22,89215000.0,2022-02-19,-1235
Issue of Auction Notice,2022-07-02,Titan Energy Systems Limited,U31200TG1995PLC019206,Mr. Gonugunta Madhusudhan Rao,2022-03-05,29000000.0,2022-03-02,-1224
Issue of Auction Notice,2022-07-02,Titan Energy Systems Limited,U31200TG1995PLC019206,Mr. Gonugunta Madhusudhan Rao,2022-03-05,6345763.0,2022-03-02,-1224
Issue of Auction Notice,2022-07-02,Titan Energy Systems Limited,U31200TG1995PLC019206,Mr. Gonugunta Madhusudhan Rao,2022-03-05,4103465.0,2022-03-02,-1224
Issue of Auction Notice,2022-05-02,Aikya Infrastructure Private Limited,U70102TG2008PTC061917,Mr. Krishna Komaravolu,2022-02-21,955400.0,2022-02-18,-1236
Issue of Auction Notice,2022-05-02,SHREE HANUMAN TEXFAB PRIVATE LIMITED,U17121MH2009PTC192331,Mr. Ganesh Venkata Siva Rama Krishna Remani,2022-02-24,120000000.0,2022-02-21,-1233
Issue of Auction Notice,2022-05-02,VIJAY TIMBER INDUSTRIES PRIVATE LIMITED,U36999GJ1998PTC033545,Mr. Ramchandra Dallaram Choudhary,2022-02-14,56566000.0,2022-02-12,-1242
Issue of Auction Notice,2022-05-02,BIOTOR INDUSTRIES LIMITED,U15142MH1976PLC019209,Mr. Sanjay Kumar Agarwal,2022-02-23,1020000000.0,2022-02-21,-1233
Issue of Auction Notice,2022-05-02,MARUTHAM STEEL INDUSTRIES PRIVATE LIMITED,U02710TZ1996PTC007300,Mr. Ravindranath Narayana Rao,2022-02-17,12200000.0,2022-02-14,-1240
Issue of Auction Notice,2022-05-02,SAMAARA LEATHERS PRIVATE LIMITED,U18104TN2011PTC079524,Mr. Karuppiah Muruganandan,2022-02-22,11755000.0,2022-02-21,-1233
Issue of Auction Notice,2022-05-02,SAMAARA LEATHERS PRIVATE LIMITED,U18104TN2011PTC079524,Mr. Karuppiah Muruganandan,2022-02-22,4366000.0,2022-02-21,-1233
Issue of Auction Notice,2022-04-02,Phoenix Aluminium Products Private Limited,U27203MH1972PTC015962,Mr. Sunil Gajanan Nanal,2022-02-10,2000000.0,2022-02-08,-1246
Issue of Auction Notice,2022-04-02,MTM TRADING PRIVATE LIMITED,U51100KA1994PTC016076,Mr. Joby Chacko,2022-02-14,141300000.0,2022-02-10,-1244
Issue of Auction Notice,2022-04-02,AK Power Industries Private Limited,U40104WB2008PTC130530,Mr. Pratim Bayal,2022-02-18,161500000.0,2022-02-17,-1237
Issue of Auction Notice,2022-04-02,LAKSHMI SUBBAIAAH TEX PRIVATE LIMITED,U17122TN2008PTC069973,Mr. Prabhu S,2022-02-21,71600000.0,2022-02-18,-1236
Issue of Auction Notice,2022-04-02,ALUPAN COMPOSITE PANELS PRIVATE LIMITED,U27203DL2003PTC123774,Mr. Ashok Kumar Dewan,2022-02-18,258740.0,2022-02-17,-1237
Issue of Auction Notice,2022-04-02,Sarawgi Builders &amp; Promoters Private Limited,U45400WB1995PTC072439,Mr. Tapan Chakraborty,2022-03-05,45050000.0,2022-03-03,-1223
Issue of Auction Notice,2022-03-02,ADHILS BUILDERS AND DEVELOPERS PVT LTD,U45200KL2011PTC029982,Mr. Dileep K P,2022-02-16,9660000.0,2022-02-14,-1240
Issue of Auction Notice,2022-03-02,MCPL Private Limited,U24246GA1994PTC001542,Mr. Rakesh Kumar Tulsyan,2022-02-16,62100000.0,2022-02-14,-1240
Issue of Auction Notice,2022-03-02,Sai Regency Power Corporation Services Private Limited,U40105TN2002PTC055046,Mr. G Ramachandran,2022-02-21,289000000.0,2022-02-07,-1247
Issue of Auction Notice,2022-03-02,Asmi Metal Products Private Limited,U28991MH1986PTC041696,Mr. Milind Kasodekar,2022-02-28,9500000.0,2022-02-26,-1228
Corrigendum,2022-03-02,K K MILK FRESH INDIA LIMITED,U01403UP2010PLC039300,Mr. Chanchal Dua,2022-02-19,350000000.0,2022-02-17,-1237
Issue of Auction Notice,2022-03-02,PALM LAGOON BACKWATER RESORTS PRIVATE LIMITED,U55101KL2002PTC015416,Mr. R.Velu,2022-02-18,15000000.0,2022-02-16,-1238
Issue of Auction Notice,2022-03-02,Doshion Water Solution Pvt Ltd,U41000MH2007PTC173486,Mr. Vikash Gautamchand Jain,2022-02-16,295300000.0,2022-02-14,-1240
Issue of Auction Notice,2022-02-02,ANIL PRINTERS LIMITED,U22212MH1983PLC029081,Mr. Vishal Pawankumar Bidawatjika,2021-10-20,21700000.0,2021-10-18,-1359
Issue of Auction Notice,2022-02-02,M/s KONASEEMA GAS POWER LIMITED,U40101TG1997PLC037013,Mr. Sai Ramesh Kanuparthi,2022-02-12,3440000000.0,2022-02-07,-1247
Issue of Auction Notice,2022-02-02,Neo Corp International Limited,L24132MH1985PLC223220,Mr. Santanu T Ray,2022-02-18,800000000.0,2022-02-10,-1244
Issue of Auction Notice,2022-02-02,Environ Energy Corporation India Ltd,U40106WB1999PTC140439,Mr. Rakesh Kumar Agarwal,2022-02-19,1994028552.0,2022-02-17,-1237
Issue of Auction Notice,2022-02-02,Lanco Kondapalli Power Limited,U40101TG1995PLC021459,Mr. Pankaj Dhanuka,2022-03-30,3210941092.0,2022-03-24,-1202
Issue of Auction Notice,2022-02-02,Ramanand Steel Limited,U27106MH1999PLC119531,Mr. Dushyant C Dave,2022-02-15,54000000.0,2022-02-14,-1240
Issue of Auction Notice,2022-02-02,VISA DRUGS & PHARMACEUTICALS PRIVATE LIMITED,U85100WB2008PTC127222,Mr. Uday Narayan Mitra,2022-02-15,46000000.0,2022-02-10,-1244
Addendum,2022-01-02,KSS PETRON PRIVATE LIMITED,U45400MH2007PTC234297,Mr. Vineet K Chaudhary,2022-02-11,32195356.0,2022-02-07,-1247
Issue of Auction Notice,2022-01-02,VARAM BIOENERGY PRIVATE LIMITED,U40108TG2002PTC038381,Mr. Vikas Prakash Gupta,2022-02-21,84000000.0,2022-02-15,-1239
Issue of Auction Notice,2022-01-02,ANIL PRINTERS LIMITED,U22212MH1983PLC029081,Mr. Vishal Pawankumar Bidawatjika,2022-02-16,14256000.0,2022-02-14,-1240
Issue of Auction Notice,2022-01-02,EPC Constructions India Limited,U99999MH1989PLC053280,Mr. Abhijit Guhathakurta,2022-03-04,2330800000.0,2022-02-25,-1229
Issue of Auction Notice,2022-01-02,EPC Constructions India Limited,U99999MH1989PLC053280,Mr. Abhijit Guhathakurta,2022-03-04,2330800000.0,2022-02-25,-1229
Issue of Auction Notice,2022-01-02,EPC Constructions India Limited,U99999MH1989PLC053280,Mr. Abhijit Guhathakurta,2022-03-04,1234200000.0,2022-02-25,-1229
Issue of Auction Notice,2022-01-02,EPC Constructions India Limited,U99999MH1989PLC053280,Mr. Abhijit Guhathakurta,2022-03-04,138800000.0,2022-02-25,-1229
Issue of Auction Notice,2022-01-02,EPC Constructions India Limited,U99999MH1989PLC053280,Mr. Abhijit Guhathakurta,2022-03-04,74500000.0,2022-02-25,-1229
Issue of Auction Notice,2022-01-02,EPC Constructions India Limited,U99999MH1989PLC053280,Mr. Abhijit Guhathakurta,2022-03-04,74500000.0,2022-02-25,-1229
Issue of Auction Notice,2022-01-02,EPC Constructions India Limited,U99999MH1989PLC053280,Mr. Abhijit Guhathakurta,2022-03-04,42700000.0,2022-02-25,-1229
Issue of Auction Notice,2022-01-02,Bhatia Global Trading Limited,U60200MP1991PLC006626,Mr. Prawincharan Prafulcharan Dwary,2022-02-08,3932000.0,2022-02-08,-1246
Issue of Auction Notice,,RABIRUN VINIMAY PRIVATE LIMITED,U51109WB1995PTC068654,Mr. Kannan Tiruvengadam,2022-03-04,2329750096.08,2022-02-28,-1226
Issue of Auction Notice,,DHAVAL PRATAPSINH MOHITEPATIL AGRO INDUSTRIES LIMITED,U01111PN2007PLC130850,Mr. Dharit Kishorbhai Shah,2022-02-03,154210020.0,2022-02-03,-1251
Issue of Auction Notice,,ANIL LIMITED,L15490GJ1993PLC019895,Mr. Ramchandra Dallaram Choudhary,2022-02-07,3630000000.0,2022-02-07,-1247
Issue of Auction Notice,,ANIL LIMITED,L15490GJ1993PLC019895,Mr. Ramchandra Dallaram Choudhary,2022-02-07,12500000.0,2022-02-07,-1247
Issue of Auction Notice,,GROWTHWAYS TRADING PRIVATE LIMITED,U52300DL2011PTC217015,Mr. Sunil Kumar Agrawal,2022-02-04,15822643.0,2022-02-02,-1252
Issue of Auction Notice,,Maktel Control &amp;amp; Systems Pvt Ltd,U31900GJ2009PTC056575,Mr. Dharit Kishorbhai Shah,2022-02-16,110680000.0,2022-02-14,-1240
Issue of Auction Notice,,GROWTHWAYS TRADING PRIVATE LIMITED,U52300DL2011PTC217015,Mr. Sunil Kumar Agrawal,2022-02-04,2177157.0,2022-02-02,-1252
Issue of Auction Notice,,Hindustan Paper Corporation Limited,U74899DL1970GOI005301,Mr. Kuldeep Verma,2022-03-01,4780200000.0,2022-02-08,-1246
Issue of Auction Notice,,CITY TILES LIMITED,U26941GJ2002PLC041142,Mr. Ravi Kapoor,2022-02-14,162450000.0,2022-02-09,-1245
Issue of Auction Notice,,G.P. Cottfab Private Limited,U17290RJ2014PTC046128,Mr. Jai Narayan Khandelwal,2022-02-04,10100000.0,2022-02-03,-1251
Issue of Auction Notice,,LANCO SOLAR PRIVATE LIMITED,U74900TG2008PTC060157,Mr. Huzefa Fakhri Sitabkhan,2022-02-16,1300000000.0,2022-02-14,-1240
Issue of Auction Notice,,LANCO SOLAR PRIVATE LIMITED,U74900TG2008PTC060157,Mr. Huzefa Fakhri Sitabkhan,2022-02-16,1200000000.0,2022-02-14,-1240
Issue of Auction Notice,,LANCO SOLAR PRIVATE LIMITED,U74900TG2008PTC060157,Mr. Huzefa Fakhri Sitabkhan,2022-02-16,1075000000.0,2022-02-14,-1240
Issue of Auction Notice,,LANCO SOLAR PRIVATE LIMITED,U74900TG2008PTC060157,Mr. Huzefa Fakhri Sitabkhan,2022-02-16,125000000.0,2022-02-14,-1240
Issue of Auction Notice,,LANCO SOLAR PRIVATE LIMITED,U74900TG2008PTC060157,Mr. Huzefa Fakhri Sitabkhan,2022-02-16,25000000.0,2022-02-14,-1240
Issue of Auction Notice,,LANCO SOLAR PRIVATE LIMITED,U74900TG2008PTC060157,Mr. Huzefa Fakhri Sitabkhan,2022-02-16,1000000.0,2022-02-14,-1240
Issue of Auction Notice,,LANCO SOLAR PRIVATE LIMITED,U74900TG2008PTC060157,Mr. Huzefa Fakhri Sitabkhan,2022-02-16,450000.0,2022-02-14,-1240
Issue of Auction Notice,,LANCO SOLAR PRIVATE LIMITED,U74900TG2008PTC060157,Mr. Huzefa Fakhri Sitabkhan,2022-02-16,450000.0,2022-02-14,-1240
Issue of Auction Notice,,LANCO SOLAR PRIVATE LIMITED,U74900TG2008PTC060157,Mr. Huzefa Fakhri Sitabkhan,2022-02-16,90000.0,2022-02-14,-1240
