announcement_type,date_of_issue_of_auction_notice,name_of_corporate_debtor,cin_no.,name_of_insolvency_professional,date_of_auction,reserve_price,last_date_of_submission,days_until_submission
Issue of Auction Notice,,SASA MUSA SUGAR WORKS PVT. LTD.,U15432WB1933PTC007599,Mr. Manish Jain,2025-05-03,1250000000.0,2025-04-30,-69
Issue of Auction Notice,,DSK Motors Private Ltd.,U34102PN1999PTC013505,Mr. Indrajit Mukherjee,2025-05-14,117665484.0,2025-05-12,-57
Issue of Auction Notice,,Pandhe Infracons Private Limited,U45202PN2008PTC143307,Mr. Brijendra Kumar Mishra,2025-04-30,2065000.0,2025-04-25,-74
Issue of Auction Notice,,Pandhe Infracons Private Limited,U45202PN2008PTC143307,Mr. Brijendra Kumar Mishra,2025-04-30,2898000.0,2025-04-25,-74
Issue of Auction Notice,,Pandhe Infracons Private Limited,U45202PN2008PTC143307,Mr. Brijendra Kumar Mishra,2025-04-30,5600000.0,2025-04-25,-74
Issue of Auction Notice,,Pandhe Infracons Private Limited,U45202PN2008PTC143307,Mr. Brijendra Kumar Mishra,2025-04-30,7440000.0,2025-04-25,-74
Issue of Auction Notice,,Pandhe Infracons Private Limited,U45202PN2008PTC143307,Mr. Brijendra Kumar Mishra,2025-04-30,9928000.0,2025-04-25,-74
Issue of Auction Notice,,Pandhe Infracons Private Limited,U45202PN2008PTC143307,Mr. Brijendra Kumar Mishra,2025-04-30,11050000.0,2025-04-25,-74
Issue of Auction Notice,,Pandhe Infracons Private Limited,U45202PN2008PTC143307,Mr. Brijendra Kumar Mishra,2025-04-30,11200000.0,2025-04-25,-74
Issue of Auction Notice,,Pandhe Infracons Private Limited,U45202PN2008PTC143307,Mr. Brijendra Kumar Mishra,2025-04-30,13638000.0,2025-04-25,-74
Issue of Auction Notice,,Pandhe Infracons Private Limited,U45202PN2008PTC143307,Mr. Brijendra Kumar Mishra,2025-04-30,23893000.0,2025-04-25,-74
Issue of Auction Notice,,Pandhe Infracons Private Limited,U45202PN2008PTC143307,Mr. Brijendra Kumar Mishra,2025-04-30,32538000.0,2025-04-25,-74
Issue of Auction Notice,,Pandhe Infracons Private Limited,U45202PN2008PTC143307,Mr. Brijendra Kumar Mishra,2025-04-30,2033000.0,2025-04-25,-74
Issue of Auction Notice,,Pandhe Infracons Private Limited,U45202PN2008PTC143307,Mr. Brijendra Kumar Mishra,2025-04-30,43938000.0,2025-04-25,-74
Issue of Auction Notice,,Golden Agrarian Private Limited,U15312PB2012PTC036748,Sandeep Kumar Chitkara,2025-05-06,14365000.0,2025-05-03,-66
Issue of Auction Notice,,KANVA FASHIONS LIMITED,U18109KA1999PLC025423,Mr. Madhugiri Venkatarayappa Sudarshan,2025-04-30,255300000.0,2025-04-28,-71
Issue of Auction Notice,2025-11-04,saibhaskar Irons Limited,U27100TG2007PLC056809,Dr. Kondapalli Venkat Srinivas,2025-05-07,40500000.0,2025-05-05,-64
Issue of Auction Notice,2025-11-04,Yummz Foods Private Limited,U15410WB2012PTC177072,Mr. Sanjeev Jhunjhunwala,2025-04-28,43600000.0,2025-04-25,-74
Issue of Auction Notice,2025-11-04,Yummz Foods Private Limited,U15410WB2012PTC177072,Mr. Sanjeev Jhunjhunwala,2025-05-10,43600000.0,2025-05-07,-62
Issue of Auction Notice,2025-11-04,Yummz Foods Private Limited,U15410WB2012PTC177072,Mr. Sanjeev Jhunjhunwala,2025-05-10,43600000.0,2025-05-07,-62
Issue of Auction Notice,2025-10-04,Coastal Energy Private Limited,U52599TN1997PTC037547,Mr. Ramakrishnan Sadasivan,2025-05-15,15500000.0,2025-05-12,-57
Issue of Auction Notice,2025-10-04,Coastal Energy Private Limited,U52599TN1997PTC037547,Mr. Ramakrishnan Sadasivan,2025-05-15,19500000.0,2025-05-12,-57
Issue of Auction Notice,2025-10-04,BHARAT NRE COKE LTD,U23109WB2003PLC097375,Ms. Varsha Bagri,2025-05-06,1210000000.0,2025-05-02,-67
Issue of Auction Notice,2025-09-04,Sohrab Spinning Mills Limited,U17115PB1989PLC009524,RAJESH MEHRU,2025-05-26,41300000.0,2025-05-23,-46
Issue of Auction Notice,2025-09-04,Gujarat NRE Coke Limited,L51909WB1986PLC040098,Mr. Sumit Binani,2025-04-28,3799522859.0,2025-04-25,-74
Issue of Auction Notice,2025-08-04,TV Products India Private Limited,U51900MH2008PTC186779,Mr. Manish Shah,2025-05-03,0.0,2025-05-03,-66
Issue of Auction Notice,2025-08-04,K.S. Oils Limited,L15141MP1985PLC003171,Mr. Kuldeep Verma,2025-05-08,10440704100.0,2025-05-06,-63
Issue of Auction Notice,2025-08-04,SHREE VAISHNO DEVI MILLS PRIVATE LIMITED,U17111TZ1993PTC004283,Mr. Mahalingam Suresh Kumar,2025-05-07,3330000.0,2025-05-05,-64
Issue of Auction Notice,2025-08-04,BHARAT NRE COKE LTD,U23109WB2003PLC097375,Ms. Varsha Bagri,2025-04-25,24300000.0,2025-04-23,-76
Issue of Auction Notice,2025-08-04,Surya Pharmaceutical Ltd,L24232DL1992PLC227186,Mr. Harvinder Kumar Jatana,2025-05-08,1070000000.0,2025-05-06,-63
Issue of Auction Notice,2025-07-04,GVK INDUSTRIES LIMITED,U74999TG1992PLC014388,Mr. Sai Ramesh Kanuparthi,2025-04-28,540000000.0,2025-04-25,-74
Issue of Auction Notice,2025-07-04,Tecpro Systems Limited,L74899DL1990PLC041985,Mr. Ramachandran Subramanian,2025-04-16,38000.0,2025-04-14,-85
